rotten_score,films,my_score,audience_score
92,Cabin in the Wood,85,74
66,Anchorman The Legend of Ron Burgdy,89,86
83,Nope,83,69
97,The Incredibles,95,75
85,Elf,90,79
79,The Hangover,82,84
93,The Shining,78,93
94,Iron Man,88,91
78,Rudy,79,90
65,The Sandlot,86,89
61,Happy Gilmore,84,85
87,Inception,89,91
95,Ghostbusters,83,88
85,Deadpool,85,90
54,The Notebook,76,85
94,The Dark Knight,93,94
92,Pulp Fiction,89,96
82,Harry Potter and the Chamber of Secrets,79,80
49,Twilight,67,72
66,Insidious,76,62
97,Airplane,90,89
43,Varsity Blues,76,89
10,Grown Ups,70,62
86,John Wick,80,81
91,Marvel's The Avengers,88,91
84,Mean Girls,75,66
96,The Social Network,84,87
81,Pitch Perfect,79,83
65,High School Musical,68,74
56,The Greatest Showman,84,86
97,Knives Out,90,92
98,Monty Python and The Holy Grail,92,95
